,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
38,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44438,DikeIncrease_1,dikesnet,119388570.17002976,380502892.142874,0
39,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44439,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
40,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44440,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
41,2,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44441,DikeIncrease_1,dikesnet,369767555.01009244,380502892.142874,0
42,73,257.83713549375534,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44442,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
43,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44443,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
44,73,158.5245394706726,1.5,0.3531024223193526,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44444,DikeIncrease_1,dikesnet,410791419.3639398,380502892.142874,0
45,73,158.5245394706726,1.5,0.41910055559128523,309.93278563022614,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44445,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
46,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44446,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
47,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.3283598283305764,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44447,DikeIncrease_1,dikesnet,413096253.08987707,380502892.142874,0
48,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,313.5422995686531,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44448,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
49,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44449,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
50,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.41892039217054844,260.2648016810417,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44450,DikeIncrease_1,dikesnet,138564184.34175488,380502892.142874,0
51,73,158.5245394706726,1.5,0.41910055559128523,111.08162581920624,1.0,0.874697919934988,286.6684180498123,1.5,0.22462764382362366,250.08556127548218,10.0,0.7686102297157049,294.4346797466278,1.5,0.7376559358090162,1.5,3.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44451,DikeIncrease_1,dikesnet,363167092.0987196,380502892.142874,0
