Parameter 1,Parameter 2,S2,S2_conf
A.4_Bmax,A.5_pfail,0.0001589752916885609,0.00023322038611381463
A.4_Bmax,discount rate 0,4.643506518424998e-05,0.00019489244761637417
A.4_Bmax,discount rate 1,8.31051509256442e-05,0.0002184480268052169
A.4_Bmax,discount rate 2,7.000441725783443e-05,0.00021711660781795544
A.4_Brate,A.4_pfail,-0.00010001901453093572,9.884215948435815e-05
A.4_Brate,A.5_Bmax,-0.00010015972682350737,9.885642990592044e-05
A.4_Brate,A.5_Brate,-0.00010015972682350737,9.885642990592044e-05
A.4_Brate,A.5_pfail,-9.35266927262271e-05,9.909195176737728e-05
A.4_Brate,discount rate 0,-9.466261850494748e-05,9.764984451466611e-05
A.4_Brate,discount rate 1,-9.439615233191722e-05,9.732149283936192e-05
A.4_Brate,discount rate 2,-9.908687049345159e-05,9.880236315106027e-05
A.4_pfail,A.5_Bmax,0.004113041735017196,0.003788300045441613
A.4_pfail,A.5_Brate,0.004113041735017196,0.003788300045441613
A.4_pfail,A.5_pfail,0.005741383251353222,0.003671706303748315
A.4_pfail,discount rate 0,0.004130101765047103,0.003773269223552196
A.4_pfail,discount rate 1,0.004490582830869082,0.003927880222452782
A.4_pfail,discount rate 2,0.0041470984533955495,0.0037940796059818893
A.5_Bmax,A.5_Brate,0.0,0.0
A.5_Bmax,A.5_pfail,0.0,1.0624079345994385e-17
A.5_Bmax,discount rate 0,-3.0357660829594124e-18,9.284330032947401e-18
A.5_Bmax,discount rate 1,-8.673617379884035e-19,5.466469536669133e-18
A.5_Bmax,discount rate 2,-1.734723475976807e-18,5.920193962378192e-18
A.5_Brate,A.5_pfail,0.0,1.0624079345994385e-17
A.5_Brate,discount rate 0,-3.0357660829594124e-18,9.284330032947401e-18
A.5_Brate,discount rate 1,-8.673617379884035e-19,5.466469536669133e-18
A.5_Brate,discount rate 2,-1.734723475976807e-18,5.920193962378192e-18
A.5_pfail,discount rate 0,0.00754689115887823,0.019751273339759876
A.5_pfail,discount rate 1,0.004420030789018395,0.019537026648502254
A.5_pfail,discount rate 2,0.004678089776764239,0.019304701042299893
discount rate 0,discount rate 1,0.01282159858185819,0.020176038970335788
discount rate 0,discount rate 2,0.01360190941298469,0.02006853902726737
discount rate 1,discount rate 2,0.006099724461612507,0.012018724540757513
